
Document1		TF		IDF		TF-IDF
aromas      	1.0000	0.3979	0.0535	
include     	1.0000	1.0000	0.0535	
tropical    	1.0000	1.0000	0.0535	
fruit       	1.0000	0.6990	0.0535	
broom       	1.0000	1.0000	0.0535	
brimstone   	1.0000	1.0000	0.0535	
dried       	1.3010	0.6990	0.0696	
herb        	1.0000	0.6990	0.0535	
palate      	1.0000	0.5229	0.0535	
overly      	1.0000	1.0000	0.0535	
expressive  	1.0000	1.0000	0.0535	
offer       	1.0000	0.6990	0.0535	
unripened   	1.0000	1.0000	0.0535	
apple       	1.0000	0.6990	0.0535	
citrus      	1.0000	1.0000	0.0535	
sage        	1.0000	1.0000	0.0535	
brisk       	1.0000	0.6990	0.0535	
acidity     	1.0000	0.1549	0.0535	

Document2		TF		IDF		TF-IDF
acidity     	1.0000	0.1549	0.0588	
ripe        	1.0000	1.0000	0.0588	
fruity      	1.0000	0.6990	0.0588	
a           	1.0000	0.1549	0.0588	
wine        	1.0000	0.3010	0.0588	
smooth      	1.0000	1.0000	0.0588	
structured  	1.0000	1.0000	0.0588	
firm        	1.0000	0.6990	0.0588	
tannins     	1.0000	0.6990	0.0588	
fill        	1.0000	1.0000	0.0588	
juicy       	1.0000	1.0000	0.0588	
red         	1.0000	0.6990	0.0588	
berry       	1.0000	0.6990	0.0588	
fruits      	1.0000	0.6990	0.0588	
freshened   	1.0000	1.0000	0.0588	
drinkable   	1.0000	1.0000	0.0588	
2016        	1.0000	1.0000	0.0588	

Document3		TF		IDF		TF-IDF
acidity     	1.0000	0.1549	0.0599	
wine        	1.0000	0.3010	0.0599	
tart        	1.0000	1.0000	0.0599	
snappy      	1.0000	1.0000	0.0599	
flavors     	1.3010	0.5229	0.0779	
lime        	1.0000	1.0000	0.0599	
flesh       	1.0000	1.0000	0.0599	
rind        	1.0000	0.6990	0.0599	
dominate    	1.0000	1.0000	0.0599	
green       	1.0000	0.6990	0.0599	
pineapple   	1.0000	0.6990	0.0599	
pokes       	1.0000	1.0000	0.0599	
crisp       	1.0000	0.6990	0.0599	
underscoring	1.0000	1.0000	0.0599	
stainless-steel	1.0000	1.0000	0.0599	
fermented   	1.0000	1.0000	0.0599	

Document4		TF		IDF		TF-IDF
aromas      	1.0000	0.3979	0.0461	
palate      	1.0000	0.5229	0.0461	
a           	1.3010	0.1549	0.0600	
rind        	1.0000	0.6990	0.0461	
pineapple   	1.0000	0.6990	0.0461	
lemon       	1.0000	1.0000	0.0461	
pith        	1.0000	1.0000	0.0461	
orange      	1.0000	1.0000	0.0461	
blossom     	1.0000	1.0000	0.0461	
start       	1.0000	1.0000	0.0461	
bite        	1.0000	1.0000	0.0461	
opulent     	1.0000	1.0000	0.0461	
note        	1.0000	0.6990	0.0461	
honey-drizzled	1.0000	1.0000	0.0461	
guava       	1.0000	1.0000	0.0461	
mango       	1.0000	1.0000	0.0461	
give        	1.0000	1.0000	0.0461	
slightly    	1.0000	1.0000	0.0461	
astringent  	1.0000	1.0000	0.0461	
semidry     	1.0000	1.0000	0.0461	
finish      	1.0000	0.6990	0.0461	

Document5		TF		IDF		TF-IDF
a           	1.4771	0.1549	0.0732	
wine        	1.0000	0.3010	0.0495	
regular     	1.0000	1.0000	0.0495	
bottling    	1.0000	1.0000	0.0495	
2012        	1.0000	1.0000	0.0495	
rough       	1.0000	1.0000	0.0495	
tannic      	1.0000	1.0000	0.0495	
rustic      	1.0000	1.0000	0.0495	
earthy      	1.0000	1.0000	0.0495	
herbal      	1.0000	0.6990	0.0495	
characteristics	1.0000	1.0000	0.0495	
pleasantly  	1.0000	1.0000	0.0495	
unfussy     	1.0000	1.0000	0.0495	
country     	1.0000	1.0000	0.0495	
good        	1.0000	1.0000	0.0495	
companion   	1.0000	1.0000	0.0495	
hearty      	1.0000	1.0000	0.0495	
winter      	1.0000	1.0000	0.0495	
stew        	1.0000	1.0000	0.0495	

Document6		TF		IDF		TF-IDF
aromas      	1.0000	0.3979	0.0370	
fruit       	1.0000	0.6990	0.0370	
acidity     	1.0000	0.1549	0.0370	
a           	1.0000	0.1549	0.0370	
flavors     	1.0000	0.5229	0.0370	
green       	1.0000	0.6990	0.0370	
finish      	1.0000	0.6990	0.0370	
herbal      	1.0000	0.6990	0.0370	
blackberry  	1.0000	1.0000	0.0370	
raspberry   	1.0000	1.0000	0.0370	
show        	1.0000	1.0000	0.0370	
typical     	1.0000	1.0000	0.0370	
navarran    	1.0000	1.0000	0.0370	
whiff       	1.0000	1.0000	0.0370	
herbs       	1.0000	1.0000	0.0370	
case        	1.0000	1.0000	0.0370	
horseradish 	1.0000	1.0000	0.0370	
mouth       	1.0000	1.0000	0.0370	
full        	1.0000	1.0000	0.0370	
bodied      	1.0000	1.0000	0.0370	
tomatoey    	1.0000	1.0000	0.0370	
spicy       	1.0000	1.0000	0.0370	
complement  	1.0000	1.0000	0.0370	
dark        	1.0000	1.0000	0.0370	
plum        	1.0000	1.0000	0.0370	
fresh       	1.0000	0.3979	0.0370	
grabby      	1.0000	1.0000	0.0370	

Document7		TF		IDF		TF-IDF
aromas      	1.0000	0.3979	0.0526	
herb        	1.0000	0.6990	0.0526	
palate      	1.0000	0.5229	0.0526	
acidity     	1.0000	0.1549	0.0526	
a           	1.0000	0.1549	0.0526	
tannins     	1.0000	0.6990	0.0526	
red         	1.0000	0.6990	0.0526	
berry       	1.0000	0.6990	0.0526	
fresh       	1.0000	0.3979	0.0526	
bright      	1.0000	1.0000	0.0526	
informal    	1.0000	1.0000	0.0526	
open        	1.0000	1.0000	0.0526	
candied     	1.0000	1.0000	0.0526	
white       	1.0000	1.0000	0.0526	
pepper      	1.0000	1.0000	0.0526	
savory      	1.0000	0.6990	0.0526	
carry       	1.0000	1.0000	0.0526	
balance     	1.0000	0.5229	0.0526	
soft        	1.0000	1.0000	0.0526	

Document8		TF		IDF		TF-IDF
offer       	1.0000	0.6990	0.0833	
acidity     	1.0000	0.1549	0.0833	
a           	1.0000	0.1549	0.0833	
wine        	1.0000	0.3010	0.0833	
firm        	1.0000	0.6990	0.0833	
balance     	1.0000	0.5229	0.0833	
dry         	1.0000	0.6990	0.0833	
restrain    	1.0000	1.0000	0.0833	
spice       	1.0000	0.6990	0.0833	
profusion   	1.0000	1.0000	0.0833	
texture     	1.0000	0.6990	0.0833	
food        	1.0000	1.0000	0.0833	

Document9		TF		IDF		TF-IDF
dried       	1.0000	0.6990	0.0588	
brisk       	1.0000	0.6990	0.0588	
fruity      	1.0000	0.6990	0.0588	
wine        	1.0000	0.3010	0.0588	
flavors     	1.0000	0.5229	0.0588	
note        	1.0000	0.6990	0.0588	
fresh       	1.0000	0.3979	0.0588	
savory      	1.0000	0.6990	0.0588	
thyme       	1.0000	1.0000	0.0588	
accent      	1.0000	1.0000	0.0588	
sunnier     	1.0000	1.0000	0.0588	
preserve    	1.0000	1.0000	0.0588	
peach       	1.0000	1.0000	0.0588	
off-dry     	1.0000	1.0000	0.0588	
